model,split,label,precision,recall,f1-score,support
lightgbm,validation,Benign,1.0,0.9995999733315555,0.9997999466524407,14999.0
lightgbm,validation,Attack,0.9996001332889037,1.0,0.9998000266631116,14999.0
lightgbm,validation,macro avg,0.9998000666444519,0.9997999866657777,0.9997999866577761,29998.0
lightgbm,validation,weighted avg,0.9998000666444519,0.9997999866657777,0.999799986657776,29998.0
lightgbm,internal_test,Benign,0.9999333377774815,0.9999666677777408,0.999950002499875,30001.0
lightgbm,internal_test,Attack,0.9999666666666667,0.9999333355554815,0.9999500008333194,30001.0
lightgbm,internal_test,macro avg,0.9999500022220741,0.9999500016666112,0.9999500016665972,60002.0
lightgbm,internal_test,weighted avg,0.9999500022220741,0.9999500016666111,0.9999500016665973,60002.0
lightgbm,external,Benign,0.7109412867829322,0.9573723056667702,0.815956307017377,537749.0
lightgbm,external,Attack,0.8820165731638273,0.4501507796410709,0.5960819370480261,380688.0
lightgbm,external,macro avg,0.7964789299733798,0.7037615426539205,0.7060191220327016,918437.0
lightgbm,external,weighted avg,0.781851222490847,0.7471312675774169,0.724819370945668,918437.0
xgboost,validation,Benign,1.0,0.9997333155543703,0.9998666399946656,14999.0
xgboost,validation,Attack,0.9997333866560021,1.0,0.999866675554963,14999.0
xgboost,validation,macro avg,0.999866693328001,0.9998666577771851,0.9998666577748143,29998.0
xgboost,validation,weighted avg,0.999866693328001,0.9998666577771852,0.9998666577748143,29998.0
xgboost,internal_test,Benign,0.9997333866560021,0.9999000033332223,0.9998166880530605,30001.0
xgboost,internal_test,Attack,0.9998999866648887,0.9997333422219259,0.9998166574995416,30001.0
xgboost,internal_test,macro avg,0.9998166866604454,0.9998166727775741,0.999816672776301,60002.0
xgboost,internal_test,weighted avg,0.9998166866604453,0.9998166727775741,0.999816672776301,60002.0
xgboost,external,Benign,0.708260691762984,0.9790887570223282,0.821940091716265,537749.0
xgboost,external,Attack,0.9357652475422853,0.4303156390535031,0.5895323248444891,380688.0
xgboost,external,macro avg,0.8220129696526346,0.7047021980379157,0.7057362082803771,918437.0
xgboost,external,weighted avg,0.8025603054877257,0.7516247712145743,0.7256081190770065,918437.0
catboost,validation,Benign,1.0,0.9996666444429628,0.9998332944353683,14999.0
catboost,validation,Attack,0.9996667555318581,1.0,0.9998333499983335,14999.0
catboost,validation,macro avg,0.9998333777659291,0.9998333222214815,0.999833322216851,29998.0
catboost,validation,weighted avg,0.9998333777659292,0.9998333222214815,0.999833322216851,29998.0
catboost,internal_test,Benign,1.0,0.9999333355554815,0.9999666666666667,30001.0
catboost,internal_test,Attack,0.9999333399993334,1.0,0.9999666688887408,30001.0
catboost,internal_test,macro avg,0.9999666699996668,0.9999666677777408,0.9999666677777037,60002.0
catboost,internal_test,weighted avg,0.9999666699996668,0.9999666677777408,0.9999666677777036,60002.0
catboost,external,Benign,0.7139636487243062,0.7968048290187429,0.7531129904129826,537749.0
catboost,external,Attack,0.6567062423615977,0.549071680746438,0.5980849264858416,380688.0
catboost,external,macro avg,0.6853349455429519,0.6729382548825904,0.6755989584494121,918437.0
catboost,external,weighted avg,0.6902307116655784,0.6941205548121429,0.6888545561379094,918437.0
decision_tree,validation,Benign,0.9999326054724357,0.9891992799519967,0.9945369842812615,14999.0
decision_tree,validation,Attack,0.9893139841688654,0.9999333288885925,0.9945953115156339,14999.0
decision_tree,validation,macro avg,0.9946232948206506,0.9945663044202946,0.9945661478984477,29998.0
decision_tree,validation,weighted avg,0.9946232948206506,0.9945663044202947,0.9945661478984477,29998.0
decision_tree,internal_test,Benign,0.9354838709677419,0.005799806673110896,0.01152814125285719,30001.0
decision_tree,internal_test,Attack,0.5013541527350541,0.999600013332889,0.667780041640224,30001.0
decision_tree,internal_test,macro avg,0.718419011851398,0.502699910003,0.3396540914465406,60002.0
decision_tree,internal_test,weighted avg,0.718419011851398,0.5026999100029999,0.33965409144654063,60002.0
decision_tree,external,Benign,0.7550700626624548,0.9534541207886951,0.8427444805322883,537749.0
decision_tree,external,Attack,0.89544782416187,0.5631173034085656,0.6914222129045784,380688.0
decision_tree,external,macro avg,0.8252589434121624,0.7582857120986304,0.7670833467184334,918437.0
decision_tree,external,weighted avg,0.8132560125639607,0.7916612680020513,0.7800220821329887,918437.0
logistic_regression,validation,Benign,1.0,0.9995999733315555,0.9997999466524407,14999.0
logistic_regression,validation,Attack,0.9996001332889037,1.0,0.9998000266631116,14999.0
logistic_regression,validation,macro avg,0.9998000666444519,0.9997999866657777,0.9997999866577761,29998.0
logistic_regression,validation,weighted avg,0.9998000666444519,0.9997999866657777,0.999799986657776,29998.0
logistic_regression,internal_test,Benign,0.9997667055490752,0.9999000033332223,0.9998333499983335,30001.0
logistic_regression,internal_test,Attack,0.9998999899989999,0.9997666744441852,0.9998333277775926,30001.0
logistic_regression,internal_test,macro avg,0.9998333477740375,0.9998333388887037,0.999833338887963,60002.0
logistic_regression,internal_test,weighted avg,0.9998333477740377,0.9998333388887037,0.999833338887963,60002.0
logistic_regression,external,Benign,0.5220223387304997,0.7256303591452518,0.6072126606703806,537749.0
logistic_regression,external,Attack,0.13690873141225884,0.061478165847097886,0.08485336291816675,380688.0
logistic_regression,external,macro avg,0.3294655350713793,0.3935542624961748,0.3460330117942737,918437.0
logistic_regression,external,weighted avg,0.3623944829899683,0.45034226626322765,0.39069708437859924,918437.0
